OA,Super Group,Super Group Name,Group,Group Name,Sub Group,Local Authority
E00005191,E,City Vibe,E1,City & student fringe,E1b,Croydon
E00005192,F,London Life-Cycle,F2,Affluent suburbs,F2a,Croydon
E00005193,E,City Vibe,E1,City & student fringe,E1a,Croydon
E00005194,D,Urban Elites,D2,City central,D2a,Croydon
E00005195,G,Multi-ethnic Suburbs,G1,Affordable transitions,G1b,Croydon
E00005196,D,Urban Elites,D1,Educational advantage,D1c,Croydon
E00005197,E,City Vibe,E1,City & student fringe,E1b,Croydon
E00005198,F,London Life-Cycle,F2,Affluent suburbs,F2b,Croydon
E00005199,B,High Density & High Rise Flats,B1,Disadvantaged diaspora,B1a,Croydon
E00005200,F,London Life-Cycle,F2,Affluent suburbs,F2b,Croydon
E00005201,E,City Vibe,E1,City & student fringe,E1b,Croydon
E00005202,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2b,Croydon
E00005203,F,London Life-Cycle,F2,Affluent suburbs,F2b,Croydon
E00005204,G,Multi-ethnic Suburbs,G1,Affordable transitions,G1b,Croydon
E00005205,F,London Life-Cycle,F2,Affluent suburbs,F2a,Croydon
E00005206,D,Urban Elites,D1,Educational advantage,D1c,Croydon
E00005208,G,Multi-ethnic Suburbs,G1,Affordable transitions,G1b,Croydon
E00005209,E,City Vibe,E1,City & student fringe,E1a,Croydon
E00005210,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Croydon
E00005211,F,London Life-Cycle,F2,Affluent suburbs,F2b,Croydon
E00005212,H,Ageing City Fringe,H1,Detached retirement,H1b,Croydon
E00005213,G,Multi-ethnic Suburbs,G1,Affordable transitions,G1b,Croydon
E00005214,G,Multi-ethnic Suburbs,G1,Affordable transitions,G1b,Croydon
E00005215,G,Multi-ethnic Suburbs,G1,Affordable transitions,G1b,Croydon
E00005216,B,High Density & High Rise Flats,B1,Disadvantaged diaspora,B1b,Croydon
E00005217,E,City Vibe,E1,City & student fringe,E1b,Croydon
E00005218,G,Multi-ethnic Suburbs,G1,Affordable transitions,G1b,Croydon
E00005219,F,London Life-Cycle,F2,Affluent suburbs,F2a,Croydon
E00005220,F,London Life-Cycle,F2,Affluent suburbs,F2a,Croydon
E00005221,F,London Life-Cycle,F2,Affluent suburbs,F2a,Croydon
E00005222,D,Urban Elites,D1,Educational advantage,D1c,Croydon
E00005223,G,Multi-ethnic Suburbs,G1,Affordable transitions,G1b,Croydon
E00005224,E,City Vibe,E1,City & student fringe,E1b,Croydon
E00005225,G,Multi-ethnic Suburbs,G1,Affordable transitions,G1b,Croydon
E00005226,G,Multi-ethnic Suburbs,G1,Affordable transitions,G1b,Croydon
E00005227,E,City Vibe,E1,City & student fringe,E1b,Croydon
E00005228,D,Urban Elites,D1,Educational advantage,D1c,Croydon
E00005229,H,Ageing City Fringe,H1,Detached retirement,H1a,Croydon
E00005230,H,Ageing City Fringe,H1,Detached retirement,H1b,Croydon
E00005231,D,Urban Elites,D1,Educational advantage,D1c,Croydon
E00005232,D,Urban Elites,D2,City central,D2a,Croydon
E00005233,E,City Vibe,E1,City & student fringe,E1b,Croydon
E00005234,F,London Life-Cycle,F2,Affluent suburbs,F2a,Croydon
E00005235,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Croydon
E00005236,C,Settled Asians,C1,Asian owner occupiers,C1a,Croydon
E00005237,F,London Life-Cycle,F1,City enclaves,F1b,Croydon
E00005238,H,Ageing City Fringe,H1,Detached retirement,H1b,Croydon
E00005239,E,City Vibe,E2,Graduation occupation,E2a,Croydon
E00005240,E,City Vibe,E1,City & student fringe,E1b,Croydon
E00005241,F,London Life-Cycle,F2,Affluent suburbs,F2b,Croydon
E00005242,F,London Life-Cycle,F2,Affluent suburbs,F2a,Croydon
E00005243,D,Urban Elites,D1,Educational advantage,D1c,Croydon
E00005244,G,Multi-ethnic Suburbs,G1,Affordable transitions,G1b,Croydon
E00005245,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Croydon
E00005246,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Croydon
E00005247,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Croydon
E00005248,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Croydon
E00005249,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Croydon
E00005250,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Croydon
E00005251,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Croydon
E00005252,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Croydon
E00005253,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Croydon
E00005254,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Croydon
E00005255,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Croydon
E00005256,B,High Density & High Rise Flats,B1,Disadvantaged diaspora,B1b,Croydon
E00005257,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Croydon
E00005258,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Croydon
E00005259,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Croydon
E00005260,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Croydon
E00005261,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Croydon
E00005262,B,High Density & High Rise Flats,B1,Disadvantaged diaspora,B1b,Croydon
E00005263,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Croydon
E00005264,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Croydon
E00005265,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Croydon
E00005266,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Croydon
E00005267,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Croydon
E00005268,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Croydon
E00005269,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Croydon
E00005270,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Croydon
E00005271,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Croydon
E00005272,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Croydon
E00005273,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Croydon
E00005274,B,High Density & High Rise Flats,B1,Disadvantaged diaspora,B1a,Croydon
E00005275,A,Intermediate Lifestyles,A2,Suburban localities,A2a,Croydon
E00005276,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Croydon
E00005277,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Croydon
E00005278,H,Ageing City Fringe,H1,Detached retirement,H1b,Croydon
E00005279,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Croydon
E00005280,A,Intermediate Lifestyles,A2,Suburban localities,A2b,Croydon
E00005281,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Croydon
E00005282,A,Intermediate Lifestyles,A1,Struggling suburbs,A1a,Croydon
E00005283,A,Intermediate Lifestyles,A2,Suburban localities,A2b,Croydon
E00005284,A,Intermediate Lifestyles,A2,Suburban localities,A2b,Croydon
E00005285,A,Intermediate Lifestyles,A2,Suburban localities,A2b,Croydon
E00005286,A,Intermediate Lifestyles,A2,Suburban localities,A2b,Croydon
E00005287,H,Ageing City Fringe,H1,Detached retirement,H1c,Croydon
E00005288,H,Ageing City Fringe,H2,Not quite Home Counties,H2a,Croydon
E00005289,H,Ageing City Fringe,H1,Detached retirement,H1a,Croydon
E00005290,H,Ageing City Fringe,H1,Detached retirement,H1b,Croydon
E00005291,H,Ageing City Fringe,H1,Detached retirement,H1c,Croydon
E00005292,A,Intermediate Lifestyles,A2,Suburban localities,A2b,Croydon
E00005293,A,Intermediate Lifestyles,A2,Suburban localities,A2b,Croydon
E00005294,H,Ageing City Fringe,H1,Detached retirement,H1c,Croydon
E00005295,H,Ageing City Fringe,H1,Detached retirement,H1a,Croydon
E00005296,H,Ageing City Fringe,H1,Detached retirement,H1b,Croydon
E00005297,H,Ageing City Fringe,H1,Detached retirement,H1c,Croydon
E00005298,H,Ageing City Fringe,H1,Detached retirement,H1a,Croydon
E00005299,H,Ageing City Fringe,H2,Not quite Home Counties,H2b,Croydon
E00005300,H,Ageing City Fringe,H1,Detached retirement,H1b,Croydon
E00005301,H,Ageing City Fringe,H2,Not quite Home Counties,H2a,Croydon
E00005302,F,London Life-Cycle,F2,Affluent suburbs,F2a,Croydon
E00005303,F,London Life-Cycle,F2,Affluent suburbs,F2a,Croydon
E00005304,H,Ageing City Fringe,H2,Not quite Home Counties,H2b,Croydon
E00005305,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Croydon
E00005306,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Croydon
E00005307,H,Ageing City Fringe,H2,Not quite Home Counties,H2a,Croydon
E00005308,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Croydon
E00005309,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Croydon
E00005310,A,Intermediate Lifestyles,A2,Suburban localities,A2a,Croydon
E00005311,H,Ageing City Fringe,H2,Not quite Home Counties,H2a,Croydon
E00005312,A,Intermediate Lifestyles,A2,Suburban localities,A2b,Croydon
E00005313,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Croydon
E00005314,E,City Vibe,E1,City & student fringe,E1b,Croydon
E00005315,H,Ageing City Fringe,H2,Not quite Home Counties,H2a,Croydon
E00005316,H,Ageing City Fringe,H2,Not quite Home Counties,H2a,Croydon
E00005317,A,Intermediate Lifestyles,A2,Suburban localities,A2b,Croydon
E00005318,A,Intermediate Lifestyles,A2,Suburban localities,A2b,Croydon
E00005319,A,Intermediate Lifestyles,A2,Suburban localities,A2b,Croydon
E00005320,F,London Life-Cycle,F2,Affluent suburbs,F2a,Croydon
E00005321,A,Intermediate Lifestyles,A2,Suburban localities,A2b,Croydon
E00005322,F,London Life-Cycle,F2,Affluent suburbs,F2b,Croydon
E00005323,H,Ageing City Fringe,H1,Detached retirement,H1c,Croydon
E00005324,F,London Life-Cycle,F2,Affluent suburbs,F2a,Croydon
E00005325,F,London Life-Cycle,F2,Affluent suburbs,F2a,Croydon
E00005326,A,Intermediate Lifestyles,A1,Struggling suburbs,A1a,Croydon
E00005327,H,Ageing City Fringe,H1,Detached retirement,H1a,Croydon
E00005328,F,London Life-Cycle,F2,Affluent suburbs,F2b,Croydon
E00005329,A,Intermediate Lifestyles,A2,Suburban localities,A2a,Croydon
E00005330,H,Ageing City Fringe,H1,Detached retirement,H1c,Croydon
E00005331,H,Ageing City Fringe,H1,Detached retirement,H1c,Croydon
E00005332,H,Ageing City Fringe,H1,Detached retirement,H1b,Croydon
E00005333,F,London Life-Cycle,F2,Affluent suburbs,F2b,Croydon
E00005334,H,Ageing City Fringe,H1,Detached retirement,H1b,Croydon
E00005335,A,Intermediate Lifestyles,A2,Suburban localities,A2a,Croydon
E00005336,A,Intermediate Lifestyles,A1,Struggling suburbs,A1a,Croydon
E00005337,H,Ageing City Fringe,H1,Detached retirement,H1c,Croydon
E00005339,H,Ageing City Fringe,H1,Detached retirement,H1c,Croydon
E00005340,A,Intermediate Lifestyles,A1,Struggling suburbs,A1a,Croydon
E00005341,H,Ageing City Fringe,H1,Detached retirement,H1b,Croydon
E00005342,E,City Vibe,E1,City & student fringe,E1a,Croydon
E00005343,H,Ageing City Fringe,H2,Not quite Home Counties,H2a,Croydon
E00005344,A,Intermediate Lifestyles,A2,Suburban localities,A2b,Croydon
E00005345,A,Intermediate Lifestyles,A1,Struggling suburbs,A1a,Croydon
E00005346,A,Intermediate Lifestyles,A2,Suburban localities,A2b,Croydon
E00005347,A,Intermediate Lifestyles,A1,Struggling suburbs,A1a,Croydon
E00005348,H,Ageing City Fringe,H1,Detached retirement,H1b,Croydon
E00005349,H,Ageing City Fringe,H1,Detached retirement,H1c,Croydon
E00005350,H,Ageing City Fringe,H1,Detached retirement,H1c,Croydon
E00005351,A,Intermediate Lifestyles,A2,Suburban localities,A2b,Croydon
E00005352,H,Ageing City Fringe,H1,Detached retirement,H1c,Croydon
E00005353,A,Intermediate Lifestyles,A2,Suburban localities,A2a,Croydon
E00005354,H,Ageing City Fringe,H1,Detached retirement,H1a,Croydon
E00005355,H,Ageing City Fringe,H1,Detached retirement,H1b,Croydon
E00005356,H,Ageing City Fringe,H1,Detached retirement,H1c,Croydon
E00005357,H,Ageing City Fringe,H1,Detached retirement,H1a,Croydon
E00005358,H,Ageing City Fringe,H1,Detached retirement,H1b,Croydon
E00005359,H,Ageing City Fringe,H1,Detached retirement,H1b,Croydon
E00005360,F,London Life-Cycle,F2,Affluent suburbs,F2b,Croydon
E00005361,H,Ageing City Fringe,H1,Detached retirement,H1c,Croydon
E00005362,H,Ageing City Fringe,H1,Detached retirement,H1a,Croydon
E00005363,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Croydon
E00005364,A,Intermediate Lifestyles,A2,Suburban localities,A2b,Croydon
E00005365,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Croydon
E00005366,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Croydon
E00005367,H,Ageing City Fringe,H2,Not quite Home Counties,H2a,Croydon
E00005368,A,Intermediate Lifestyles,A2,Suburban localities,A2a,Croydon
E00005369,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Croydon
E00005370,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Croydon
E00005371,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Croydon
E00005372,A,Intermediate Lifestyles,A2,Suburban localities,A2a,Croydon
E00005373,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Croydon
E00005374,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Croydon
E00005375,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Croydon
E00005376,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Croydon
E00005377,A,Intermediate Lifestyles,A2,Suburban localities,A2a,Croydon
E00005378,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Croydon
E00005379,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Croydon
E00005380,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Croydon
E00005381,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Croydon
E00005382,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Croydon
E00005383,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Croydon
E00005384,A,Intermediate Lifestyles,A2,Suburban localities,A2a,Croydon
E00005385,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Croydon
E00005386,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Croydon
E00005387,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Croydon
E00005388,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Croydon
E00005389,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Croydon
E00005390,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Croydon
E00005391,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Croydon
E00005392,H,Ageing City Fringe,H2,Not quite Home Counties,H2a,Croydon
E00005393,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Croydon
E00005394,H,Ageing City Fringe,H2,Not quite Home Counties,H2a,Croydon
E00005395,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Croydon
E00005396,C,Settled Asians,C1,Asian owner occupiers,C1b,Croydon
E00005397,C,Settled Asians,C1,Asian owner occupiers,C1b,Croydon
E00005398,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Croydon
E00005399,C,Settled Asians,C1,Asian owner occupiers,C1a,Croydon
E00005400,C,Settled Asians,C1,Asian owner occupiers,C1a,Croydon
E00005401,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Croydon
E00005402,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Croydon
E00005404,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Croydon
E00005405,C,Settled Asians,C1,Asian owner occupiers,C1a,Croydon
E00005406,A,Intermediate Lifestyles,A1,Struggling suburbs,A1a,Croydon
E00005407,C,Settled Asians,C1,Asian owner occupiers,C1a,Croydon
E00005408,C,Settled Asians,C1,Asian owner occupiers,C1a,Croydon
E00005409,G,Multi-ethnic Suburbs,G1,Affordable transitions,G1b,Croydon
E00005410,C,Settled Asians,C1,Asian owner occupiers,C1a,Croydon
E00005411,C,Settled Asians,C1,Asian owner occupiers,C1b,Croydon
E00005412,C,Settled Asians,C1,Asian owner occupiers,C1a,Croydon
E00005413,C,Settled Asians,C4,Elderly Asians,C4a,Croydon
E00005414,C,Settled Asians,C1,Asian owner occupiers,C1a,Croydon
E00005415,C,Settled Asians,C1,Asian owner occupiers,C1a,Croydon
E00005416,G,Multi-ethnic Suburbs,G1,Affordable transitions,G1b,Croydon
E00005417,C,Settled Asians,C1,Asian owner occupiers,C1b,Croydon
E00005418,C,Settled Asians,C1,Asian owner occupiers,C1a,Croydon
E00005419,C,Settled Asians,C4,Elderly Asians,C4b,Croydon
E00005420,C,Settled Asians,C1,Asian owner occupiers,C1a,Croydon
E00005421,C,Settled Asians,C4,Elderly Asians,C4a,Croydon
E00005422,C,Settled Asians,C1,Asian owner occupiers,C1b,Croydon
E00005423,C,Settled Asians,C1,Asian owner occupiers,C1b,Croydon
E00005424,H,Ageing City Fringe,H1,Detached retirement,H1a,Croydon
E00005425,C,Settled Asians,C1,Asian owner occupiers,C1b,Croydon
E00005426,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Croydon
E00005427,C,Settled Asians,C1,Asian owner occupiers,C1b,Croydon
E00005428,G,Multi-ethnic Suburbs,G1,Affordable transitions,G1a,Croydon
E00005429,G,Multi-ethnic Suburbs,G1,Affordable transitions,G1b,Croydon
E00005430,G,Multi-ethnic Suburbs,G1,Affordable transitions,G1b,Croydon
E00005431,C,Settled Asians,C1,Asian owner occupiers,C1b,Croydon
E00005432,C,Settled Asians,C1,Asian owner occupiers,C1a,Croydon
E00005433,G,Multi-ethnic Suburbs,G1,Affordable transitions,G1a,Croydon
E00005435,G,Multi-ethnic Suburbs,G1,Affordable transitions,G1a,Croydon
E00005436,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Croydon
E00005437,C,Settled Asians,C1,Asian owner occupiers,C1a,Croydon
E00005438,C,Settled Asians,C1,Asian owner occupiers,C1b,Croydon
E00005439,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Croydon
E00005440,H,Ageing City Fringe,H1,Detached retirement,H1c,Croydon
E00005441,H,Ageing City Fringe,H1,Detached retirement,H1b,Croydon
E00005442,F,London Life-Cycle,F2,Affluent suburbs,F2a,Croydon
E00005443,H,Ageing City Fringe,H1,Detached retirement,H1a,Croydon
E00005444,C,Settled Asians,C1,Asian owner occupiers,C1a,Croydon
E00005445,E,City Vibe,E1,City & student fringe,E1a,Croydon
E00005446,F,London Life-Cycle,F2,Affluent suburbs,F2a,Croydon
E00005447,H,Ageing City Fringe,H2,Not quite Home Counties,H2a,Croydon
E00005448,F,London Life-Cycle,F2,Affluent suburbs,F2a,Croydon
E00005449,F,London Life-Cycle,F2,Affluent suburbs,F2a,Croydon
E00005450,A,Intermediate Lifestyles,A1,Struggling suburbs,A1a,Croydon
E00005451,C,Settled Asians,C1,Asian owner occupiers,C1a,Croydon
E00005452,F,London Life-Cycle,F2,Affluent suburbs,F2b,Croydon
E00005453,H,Ageing City Fringe,H1,Detached retirement,H1a,Croydon
E00005454,H,Ageing City Fringe,H1,Detached retirement,H1a,Croydon
E00005455,F,London Life-Cycle,F2,Affluent suburbs,F2b,Croydon
E00005456,A,Intermediate Lifestyles,A1,Struggling suburbs,A1a,Croydon
E00005457,H,Ageing City Fringe,H1,Detached retirement,H1b,Croydon
E00005458,H,Ageing City Fringe,H1,Detached retirement,H1b,Croydon
E00005459,H,Ageing City Fringe,H1,Detached retirement,H1a,Croydon
E00005461,E,City Vibe,E1,City & student fringe,E1a,Croydon
E00005462,H,Ageing City Fringe,H1,Detached retirement,H1a,Croydon
E00005463,H,Ageing City Fringe,H1,Detached retirement,H1c,Croydon
E00005464,F,London Life-Cycle,F2,Affluent suburbs,F2b,Croydon
E00005465,A,Intermediate Lifestyles,A1,Struggling suburbs,A1a,Croydon
E00005466,F,London Life-Cycle,F2,Affluent suburbs,F2a,Croydon
E00005467,H,Ageing City Fringe,H1,Detached retirement,H1c,Croydon
E00005468,E,City Vibe,E1,City & student fringe,E1b,Croydon
E00005469,H,Ageing City Fringe,H1,Detached retirement,H1c,Croydon
E00005470,H,Ageing City Fringe,H1,Detached retirement,H1c,Croydon
E00005471,H,Ageing City Fringe,H1,Detached retirement,H1c,Croydon
E00005472,H,Ageing City Fringe,H1,Detached retirement,H1c,Croydon
E00005473,F,London Life-Cycle,F2,Affluent suburbs,F2a,Croydon
E00005474,A,Intermediate Lifestyles,A1,Struggling suburbs,A1a,Croydon
E00005475,F,London Life-Cycle,F2,Affluent suburbs,F2b,Croydon
E00005476,H,Ageing City Fringe,H1,Detached retirement,H1b,Croydon
E00005477,F,London Life-Cycle,F2,Affluent suburbs,F2a,Croydon
E00005478,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Croydon
E00005479,A,Intermediate Lifestyles,A1,Struggling suburbs,A1a,Croydon
E00005480,A,Intermediate Lifestyles,A1,Struggling suburbs,A1a,Croydon
E00005481,F,London Life-Cycle,F2,Affluent suburbs,F2b,Croydon
E00005482,H,Ageing City Fringe,H1,Detached retirement,H1a,Croydon
E00005483,H,Ageing City Fringe,H1,Detached retirement,H1c,Croydon
E00005484,H,Ageing City Fringe,H2,Not quite Home Counties,H2a,Croydon
E00005485,H,Ageing City Fringe,H1,Detached retirement,H1c,Croydon
E00005486,H,Ageing City Fringe,H2,Not quite Home Counties,H2b,Croydon
E00005487,H,Ageing City Fringe,H1,Detached retirement,H1c,Croydon
E00005488,H,Ageing City Fringe,H1,Detached retirement,H1c,Croydon
E00005489,H,Ageing City Fringe,H1,Detached retirement,H1b,Croydon
E00005490,A,Intermediate Lifestyles,A2,Suburban localities,A2a,Croydon
E00005491,H,Ageing City Fringe,H1,Detached retirement,H1c,Croydon
E00005492,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Croydon
E00005493,H,Ageing City Fringe,H1,Detached retirement,H1c,Croydon
E00005494,H,Ageing City Fringe,H1,Detached retirement,H1c,Croydon
E00005495,H,Ageing City Fringe,H1,Detached retirement,H1b,Croydon
E00005496,H,Ageing City Fringe,H1,Detached retirement,H1b,Croydon
E00005497,A,Intermediate Lifestyles,A2,Suburban localities,A2b,Croydon
E00005498,H,Ageing City Fringe,H1,Detached retirement,H1c,Croydon
E00005499,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Croydon
E00005500,H,Ageing City Fringe,H2,Not quite Home Counties,H2b,Croydon
E00005501,H,Ageing City Fringe,H2,Not quite Home Counties,H2b,Croydon
E00005502,H,Ageing City Fringe,H2,Not quite Home Counties,H2b,Croydon
E00005503,H,Ageing City Fringe,H2,Not quite Home Counties,H2b,Croydon
E00005504,H,Ageing City Fringe,H2,Not quite Home Counties,H2b,Croydon
E00005505,H,Ageing City Fringe,H1,Detached retirement,H1b,Croydon
E00005506,F,London Life-Cycle,F2,Affluent suburbs,F2b,Croydon
E00005507,H,Ageing City Fringe,H1,Detached retirement,H1c,Croydon
E00005508,H,Ageing City Fringe,H1,Detached retirement,H1a,Croydon
E00005509,H,Ageing City Fringe,H1,Detached retirement,H1c,Croydon
E00005510,H,Ageing City Fringe,H1,Detached retirement,H1b,Croydon
E00005511,H,Ageing City Fringe,H1,Detached retirement,H1b,Croydon
E00005512,H,Ageing City Fringe,H1,Detached retirement,H1c,Croydon
E00005513,H,Ageing City Fringe,H1,Detached retirement,H1c,Croydon
E00005514,H,Ageing City Fringe,H1,Detached retirement,H1c,Croydon
E00005515,H,Ageing City Fringe,H1,Detached retirement,H1c,Croydon
E00005516,H,Ageing City Fringe,H1,Detached retirement,H1c,Croydon
E00005517,H,Ageing City Fringe,H1,Detached retirement,H1b,Croydon
E00005518,H,Ageing City Fringe,H1,Detached retirement,H1c,Croydon
E00005519,C,Settled Asians,C2,Transport service workers,C2b,Croydon
E00005520,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Croydon
E00005521,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2b,Croydon
E00005522,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Croydon
E00005523,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Croydon
E00005524,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Croydon
E00005525,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Croydon
E00005526,A,Intermediate Lifestyles,A1,Struggling suburbs,A1a,Croydon
E00005527,G,Multi-ethnic Suburbs,G1,Affordable transitions,G1b,Croydon
E00005528,G,Multi-ethnic Suburbs,G1,Affordable transitions,G1b,Croydon
E00005529,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Croydon
E00005530,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Croydon
E00005531,G,Multi-ethnic Suburbs,G1,Affordable transitions,G1b,Croydon
E00005532,G,Multi-ethnic Suburbs,G1,Affordable transitions,G1b,Croydon
E00005533,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Croydon
E00005534,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Croydon
E00005535,A,Intermediate Lifestyles,A1,Struggling suburbs,A1a,Croydon
E00005536,A,Intermediate Lifestyles,A1,Struggling suburbs,A1a,Croydon
E00005537,A,Intermediate Lifestyles,A1,Struggling suburbs,A1a,Croydon
E00005538,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Croydon
E00005539,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Croydon
E00005540,E,City Vibe,E1,City & student fringe,E1a,Croydon
E00005541,E,City Vibe,E1,City & student fringe,E1a,Croydon
E00005542,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Croydon
E00005543,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Croydon
E00005544,E,City Vibe,E1,City & student fringe,E1b,Croydon
E00005545,A,Intermediate Lifestyles,A1,Struggling suburbs,A1a,Croydon
E00005546,B,High Density & High Rise Flats,B1,Disadvantaged diaspora,B1b,Croydon
E00005547,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Croydon
E00005548,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2b,Croydon
E00005549,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2b,Croydon
E00005550,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2b,Croydon
E00005551,G,Multi-ethnic Suburbs,G1,Affordable transitions,G1b,Croydon
E00005552,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Croydon
E00005553,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Croydon
E00005554,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Croydon
E00005555,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Croydon
E00005556,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Croydon
E00005557,E,City Vibe,E1,City & student fringe,E1a,Croydon
E00005558,A,Intermediate Lifestyles,A1,Struggling suburbs,A1a,Croydon
E00005559,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Croydon
E00005560,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Croydon
E00005561,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Croydon
E00005562,C,Settled Asians,C1,Asian owner occupiers,C1a,Croydon
E00005563,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2b,Croydon
E00005564,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2b,Croydon
